2024-09-15 03:36:05.416 INFO  (main) [c: s: r: x: t:] o.e.j.s.Server jetty-10.0.19; built: 2023-12-15T20:38:32.477Z; git: 8492d1c78f122bb30cce20aecfa07e7283facd47; jvm 11.0.9+11-LTS
2024-09-15 03:36:07.339 WARN  (main) [c: s: r: x: t:] o.e.j.u.DeprecationWarning Using @Deprecated Class org.eclipse.jetty.servlet.listener.ELContextCleaner
2024-09-15 03:36:07.464 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Using logger factory org.apache.logging.slf4j.Log4jLoggerFactory
2024-09-15 03:36:07.495 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider  ___      _       Welcome to Apache Solr™ version 9.5.0
2024-09-15 03:36:07.495 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider / __| ___| |_ _   Starting in standalone mode on port 8983
2024-09-15 03:36:07.495 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider \__ \/ _ \ | '_|  Install dir: C:\CommunityLocal\Search
2024-09-15 03:36:07.495 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider |___/\___/_|_|    Start time: 2024-09-15T03:36:07.495825300Z
2024-09-15 03:36:07.495 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Solr started with "-XX:+CrashOnOutOfMemoryError" that will crash on any OutOfMemoryError exception. The cause of the OOME will be logged in the crash file at the following path: C:\CommunityLocal\Search\data\logs\jvm_crash_14980.log
2024-09-15 03:36:07.605 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Solr Home: C:\CommunityLocal\Search\data\home (source: system property: solr.solr.home)
2024-09-15 03:36:07.668 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrXmlConfig Loading solr.xml from C:\CommunityLocal\Search\data\home\solr.xml
2024-09-15 03:36:09.637 INFO  (main) [c: s: r: x: t:] o.a.s.u.t.SimplePropagator Always-on trace id generation enabled.
2024-09-15 03:36:10.293 WARN  (main) [c: s: r: x: t:] o.a.s.u.StartupLoggingUtils Jetty request logging enabled. Will retain logs for last 3 days. See chapter "Configuring Logging" in reference guide for how to configure.
2024-09-15 03:36:10.309 WARN  (main) [c: s: r: x: t:] o.a.s.c.CoreContainer Not all security plugins configured!  authentication=disabled authorization=disabled.  Solr is only as secure as you make it. Consider configuring authentication/authorization before exposing Solr to users internal or external.  See https://s.apache.org/solrsecurity for more info
2024-09-15 03:36:10.809 INFO  (main) [c: s: r: x: t:] o.a.s.c.CorePropertiesLocator Found 2 core definitions underneath C:\CommunityLocal\Search\data\home
2024-09-15 03:36:10.809 INFO  (main) [c: s: r: x: t:] o.a.s.c.CorePropertiesLocator Cores are: [telligent-content, telligent-conversations]
2024-09-15 03:36:10.887 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.8.0
2024-09-15 03:36:10.887 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:telligent-conversations t:] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.8.0
2024-09-15 03:36:11.090 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:telligent-conversations t:] o.a.s.s.IndexSchema Schema name=TelligentConversations
2024-09-15 03:36:11.106 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.s.IndexSchema Schema name=Telligent
2024-09-15 03:36:11.527 WARN  (main) [c: s: r: x: t:] o.g.j.m.i.MessagingBinders A class jakarta.activation.DataSource for a default provider MessageBodyWriter<jakarta.activation.DataSource> was not found. The provider is not available.
2024-09-15 03:36:11.668 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:telligent-conversations t:] o.a.s.r.RestManager Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory$SynonymManager for path /schema/analysis/synonyms/en
